word,level,pos,definition_url,voice_url
a,a1,indefinite article,https://www.oxfordlearnersdictionaries.com/definition/english/a_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/a__/a__us/a__us_2_rr.ogg
abandon,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aba/aband/abandon__us_2.ogg
ability,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ability_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abi/abili/ability__us_4.ogg
able,a2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/able_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abl/able_/able__us_2.ogg
abolish,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/abolish,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/aboli/abolish__us_1.ogg
abortion,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/abortion,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/abort/abortion__us_1.ogg
about,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/about_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/about/about__us_1.ogg
about,a1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/about_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/about/about__us_1.ogg
above,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/above_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/above/above__us_2.ogg
above,a1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/above_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abo/above/above__us_2.ogg
abroad,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/abroad,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abr/abroa/abroad__us_4.ogg
absence,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/absence,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absen/absence__us_1.ogg
absent,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/absent_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absen/absent__us_1.ogg
absolute,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absol/absolute__us_1_rr.ogg
absolutely,b1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/absolutely,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absol/absolutely__us_1_rr.ogg
absorb,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/absorb,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absor/absorb__us_2_rr.ogg
abstract,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/abstr/abstract__us_2_rr.ogg
absurd,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/absurd,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abs/absur/absurd__us_1_rr.ogg
abundance,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/abundance,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abund/abundance__us_1.ogg
abuse,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abuse/abuse__us_3.ogg
abuse,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/abu/abuse/abuse__us_1.ogg
academic,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/academic_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academic__us_2.ogg
academic,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/academic_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academic__us_2.ogg
academy,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/academy,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aca/acade/academy__us_1.ogg
accelerate,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accelerate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accel/accelerate__us_1.ogg
accent,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accent_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accen/accent__us_1_rr.ogg
accept,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accept,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/accept__us_1.ogg
acceptable,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/acceptable__us_3.ogg
acceptance,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acceptance,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accep/acceptance__us_1.ogg
access,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/access_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/access__us_2.ogg
access,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/access_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/access__us_2.ogg
accessible,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accessible,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/accessible__us_1.ogg
accident,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accident,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accid/accident__us_2_rr.ogg
accidentally,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accidentally,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accid/accidentally__us_1.ogg
accommodate,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodate__us_1.ogg
accommodation,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accommodation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodation__us_2.ogg
accompany,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accompany,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accompany__us_2.ogg
accomplish,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accomplish,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplish__us_1.ogg
accomplishment,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accomplishment,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplishment__us_1.ogg
accordance,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accordance,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordance__us_1.ogg
according to,a2,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/according-to,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/according_to_1_us_3.ogg
accordingly,c1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accordingly,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordingly__us_1.ogg
account,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/account_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg
account,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/account_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg
accountability,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accountability,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountability__us_1.ogg
accountable,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accountable,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountable__us_1.ogg
accountant,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accountant,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountant__us_1.ogg
accounting,,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accounting,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accounting__us_1.ogg
accumulate,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accumulate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulate__us_1.ogg
