word,level,pos,definition_url,voice_url
a (little) bit more about,,,https://www.oxfordlearnersdictionaries.com/definition/academic/bit#bit__40,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_l/a_lit/a_little_bit_more_about_1_us_1.ogg
a (whole) range of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/range1#range1__170,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_w/a_who/a_whole_range_of_1_us_1.ogg
a (whole) series of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/series#series__15,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_w/a_who/a_whole_series_of_1_us_1.ogg
a better understanding of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/understanding#understanding__15,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_b/a_bet/a_better_understanding_of_1_us_1.ogg
a bit like,,,https://www.oxfordlearnersdictionaries.com/definition/academic/bit#bit__22,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_b/a_bit/a_bit_like_1_us_1.ogg
a certain amount of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/amount1#amount1__18,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_c/a_cer/a_certain_amount_of_1_us_1.ogg
a change in,,,https://www.oxfordlearnersdictionaries.com/definition/academic/change1#change1__15,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_c/a_cha/a_change_in_1_us_1.ogg
a combination of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/combination#combination__15,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_c/a_com/a_combination_of_1_us_1.ogg
a function of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/function1,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_f/a_fun/a_function_of_1_us_1.ogg
a group of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/group1#group1__17,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_g/a_gro/a_group_of_1_us_1.ogg
a high degree of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/degree#degree__15,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_h/a_hig/a_high_degree_of_1_us_1.ogg
a high level of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/level1#level1__296,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_h/a_hig/a_high_level_of_1_us_1.ogg
a kind of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/kind1,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_k/a_kin/a_kind_of_1_us_1.ogg
a large number of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/number1#number1__15,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_l/a_lar/a_large_number_of_1_us_1.ogg
a little bit (of),,,https://www.oxfordlearnersdictionaries.com/definition/academic/bit#bit__73,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_l/a_lit/a_little_bit_of_1_us_1.ogg
a little bit about,,,https://www.oxfordlearnersdictionaries.com/definition/academic/bit#bit__40,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_l/a_lit/a_little_bit_about_1_us_1.ogg
a measure of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/measure2#measure2__169,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_m/a_mea/a_measure_of_1_us_1.ogg
a number of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/number1,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_n/a_num/a_number_of_1_us_1.ogg
a number of different,,,https://www.oxfordlearnersdictionaries.com/definition/academic/different#different__223,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_n/a_num/a_number_of_different_1_us_1.ogg
a sense of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/sense1#sense1__90,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_s/a_sen/a_sense_of_1_us_1.ogg
a series of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/series#series__15,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_s/a_ser/a_series_of_1_us_1.ogg
a small number of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/small#small__21,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_s/a_sma/a_small_number_of_1_us_1.ogg
a sort of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/sort1,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_s/a_sor/a_sort_of_1_us_1.ogg
a variety of,,,https://www.oxfordlearnersdictionaries.com/definition/academic/variety#variety__18,https://www.oxfordlearnersdictionaries.com/media/academic/us_pron_ogg/a/a_v/a_var/a_variety_of_1_us_1.ogg
